113357,414400633,678016527,616173539,217,91,7601
197818,43994858,1400779206,161112788,92,130,1378
55191,172669767,100897275,100488969,523,247,1179
2098569,106023245,899764601,471857263,11,39,1611
119905,388479525,1716279595,123248741,25,909,73
319544,90376720,200137700,495602526,170,720,598
89606,66494818,545051640,290995726,44,522,2032
132436,394392648,34858790,614705936,12,670,1060
109341,871645935,213036993,448458473,71,453,283
116034,29536990,37010866,698729764,2,6460,2252
569527,937275209,88827601,236327119,117,367,1395
174857,252548899,19431767,134053467,503,343,2341
1239787,540675239,208104489,492999413,177,35,985
19888,7877882,874820780,613122290,102,2600,1404
233106,111013978,87056112,305091974,8,1552,366
777465,38705969,621171339,314833717,89,2967,255
91744,56380590,389426156,257845784,30,3134,14
21665,1076220353,50041543,154988211,177,413,505
26865,496104779,574654653,244835057,349,561,287
175262,233440622,337081112,800781260,74,46,1208
449420,732784032,639739354,117792636,40,328,1662
204534,295218406,33825444,205873358,60,228,1458
75182,2817912,921848046,211230718,362,160,166
83752,175949798,568402044,353070132,48,566,348
712472,723685022,254949242,1409304266,66,176,158
112948,318101904,127196574,123870950,98,436,2294
5204,1243294312,30965024,82069808,32,308,890
212044,405047138,277034358,160987380,114,210,8186
11329,578676847,1177165995,203288577,15,985,845
92220,163134486,136259490,163978972,246,392,1712
136215,690935533,782115919,459601599,137,83,437
309670,267655166,345940282,785710910,304,392,2264
42959,199204447,545740325,190707889,177,565,1889
540876,132223820,824037222,517846056,280,140,714
23939,67972223,708180437,82703367,431,19,1855
54610,284393536,30684570,72563428,224,306,3626
111179,184042151,16378583,80918069,105,3611,7863
176617,70190099,89230611,239725045,35,305,2777
140039,329450361,1259719719,182826807,335,2917,835
8961,62354139,203150397,69396659,169,951,1549
99425,796577739,345086379,732850447,1051,1015,1791
117124,194715470,586925332,405395080,26,1298,454
207507,116442263,80506769,11026161,1,35,885
509034,142130380,556750462,440426010,122,450,1592
114735,1149797003,150527805,1764188425,3,65,5553
312901,123988043,496285127,692680387,817,87,1333
71153,27678099,67841591,39976539,91,1017,761
565958,87777514,67301896,24280500,434,1026,1268
253026,142603488,209143164,16959860,22,640,488
441034,196036324,133350960,77393122,62,796,500
